OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
2024-07-05T00:49:21.790+0800: 70.500: [GC (Allocation Failure) [PSYoungGen: 186688K->17015K(198656K)] 239533K->69868K(309248K), 0.0208306 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:22.187+0800: 70.898: [GC (Allocation Failure) [PSYoungGen: 178295K->28240K(198656K)] 231148K->81101K(309248K), 0.0325281 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:22.601+0800: 71.312: [GC (Allocation Failure) [PSYoungGen: 190544K->22864K(200192K)] 243405K->75733K(310784K), 0.0331674 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:23.000+0800: 71.711: [GC (Allocation Failure) [PSYoungGen: 185168K->22857K(198656K)] 238037K->75735K(309248K), 0.0215722 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:23.410+0800: 72.121: [GC (Allocation Failure) [PSYoungGen: 187209K->26480K(199680K)] 240087K->79365K(310272K), 0.0512134 secs] [Times: user=0.09 sys=0.01, real=0.05 secs] 
2024-07-05T00:49:23.854+0800: 72.565: [GC (Allocation Failure) [PSYoungGen: 190832K->20912K(201728K)] 243717K->73805K(312320K), 0.0214321 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:24.158+0800: 72.868: [GC (Allocation Failure) [PSYoungGen: 188336K->29344K(202240K)] 241229K->82245K(312832K), 0.0561184 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
2024-07-05T00:49:24.641+0800: 73.352: [GC (Allocation Failure) [PSYoungGen: 196768K->18474K(203264K)] 249669K->71384K(313856K), 0.0184724 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:25.084+0800: 73.794: [GC (Allocation Failure) [PSYoungGen: 185898K->9872K(177664K)] 238808K->63327K(288256K), 0.0128609 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:25.441+0800: 74.152: [GC (Allocation Failure) [PSYoungGen: 177296K->25136K(202240K)] 230751K->84121K(312832K), 0.0445777 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:25.860+0800: 74.571: [GC (Allocation Failure) [PSYoungGen: 191024K->26839K(193024K)] 250009K->90616K(303616K), 0.0330061 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:26.257+0800: 74.968: [GC (Allocation Failure) [PSYoungGen: 192727K->12370K(201728K)] 256504K->85195K(312320K), 0.0194902 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:26.610+0800: 75.321: [GC (Allocation Failure) [PSYoungGen: 177234K->18592K(183808K)] 250059K->96658K(294400K), 0.0504515 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
2024-07-05T00:49:27.001+0800: 75.712: [GC (Allocation Failure) [PSYoungGen: 183456K->32928K(196608K)] 261522K->117267K(307200K), 0.0452285 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2024-07-05T00:49:27.423+0800: 76.134: [GC (Allocation Failure) [PSYoungGen: 193696K->12448K(199680K)] 278035K->98155K(310272K), 0.0165724 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:27.816+0800: 76.527: [GC (Allocation Failure) [PSYoungGen: 173216K->16576K(197632K)] 258923K->104571K(308224K), 0.0213579 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:28.106+0800: 76.817: [GC (Allocation Failure) [PSYoungGen: 177344K->27872K(198656K)] 265339K->125735K(309248K), 0.0450559 secs] [Times: user=0.08 sys=0.01, real=0.04 secs] 
2024-07-05T00:49:28.484+0800: 77.195: [GC (Allocation Failure) [PSYoungGen: 188640K->17904K(199680K)] 286503K->124223K(310272K), 0.0303149 secs] [Times: user=0.04 sys=0.01, real=0.04 secs] 
2024-07-05T00:49:28.515+0800: 77.225: [Full GC (Ergonomics) [PSYoungGen: 17904K->0K(199680K)] [ParOldGen: 106319K->52860K(117248K)] 124223K->52860K(316928K), [Metaspace: 12053K->12053K(1060864K)], 0.1698787 secs] [Times: user=0.32 sys=0.00, real=0.16 secs] 
