OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2227420k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-04T22:40:34.564+0800: 93.878: [GC (Allocation Failure) [PSYoungGen: 971072K->28112K(1013760K)] 1034804K->91860K(1106432K), 0.0340137 secs] [Times: user=0.05 sys=0.02, real=0.04 secs] 
2024-07-04T22:40:36.130+0800: 95.444: [GC (Allocation Failure) [PSYoungGen: 1009104K->26803K(1008128K)] 1072852K->90568K(1100800K), 0.0260876 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:40:37.746+0800: 97.060: [GC (Allocation Failure) [PSYoungGen: 1007795K->22912K(1015296K)] 1071560K->86684K(1107968K), 0.0231602 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:40:39.574+0800: 98.888: [GC (Allocation Failure) [PSYoungGen: 1003904K->24752K(1006080K)] 1067676K->88532K(1098752K), 0.0247400 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:40:41.085+0800: 100.399: [GC (Allocation Failure) [PSYoungGen: 1005744K->28000K(1012736K)] 1069524K->91788K(1105408K), 0.0271116 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:40:42.736+0800: 102.051: [GC (Allocation Failure) [PSYoungGen: 1007968K->15474K(1013760K)] 1071756K->79278K(1106432K), 0.0177669 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:40:44.354+0800: 103.669: [GC (Allocation Failure) [PSYoungGen: 995442K->16288K(1014272K)] 1059246K->80100K(1106944K), 0.0180905 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2024-07-04T22:40:45.999+0800: 105.313: [GC (Allocation Failure) [PSYoungGen: 996256K->26912K(1007104K)] 1060068K->90732K(1099776K), 0.0305861 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-04T22:40:47.715+0800: 107.029: [GC (Allocation Failure) [PSYoungGen: 1006880K->14295K(1013760K)] 1070700K->78123K(1106432K), 0.0187670 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-04T22:40:49.346+0800: 108.660: [GC (Allocation Failure) [PSYoungGen: 993239K->21398K(1000448K)] 1057067K->85242K(1093120K), 0.0252592 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
