OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2040184k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-05T13:05:10.637+0800: 150.367: [GC (Allocation Failure) [PSYoungGen: 939712K->11488K(987136K)] 1005149K->76933K(1091072K), 0.0123806 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:12.001+0800: 151.730: [GC (Allocation Failure) [PSYoungGen: 939232K->23888K(986624K)] 1004677K->89341K(1090560K), 0.0243929 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:13.384+0800: 153.114: [GC (Allocation Failure) [PSYoungGen: 951632K->23200K(987136K)] 1017085K->88661K(1091072K), 0.0285867 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:14.743+0800: 154.473: [GC (Allocation Failure) [PSYoungGen: 956064K->12288K(986624K)] 1021525K->77757K(1090560K), 0.0134765 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:16.066+0800: 155.796: [GC (Allocation Failure) [PSYoungGen: 945152K->30592K(994304K)] 1010621K->96069K(1098240K), 0.0315420 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:17.485+0800: 157.215: [GC (Allocation Failure) [PSYoungGen: 971648K->25104K(966656K)] 1037125K->90589K(1070592K), 0.0262367 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:18.842+0800: 158.572: [GC (Allocation Failure) [PSYoungGen: 966160K->15098K(992768K)] 1031645K->80591K(1096704K), 0.0145714 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:20.143+0800: 159.873: [GC (Allocation Failure) [PSYoungGen: 958202K->26048K(992256K)] 1023695K->91549K(1096192K), 0.0249250 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:21.531+0800: 161.261: [GC (Allocation Failure) [PSYoungGen: 969152K->22576K(997888K)] 1034653K->88085K(1101824K), 0.0229476 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:22.929+0800: 162.659: [GC (Allocation Failure) [PSYoungGen: 973872K->21616K(996864K)] 1039381K->87133K(1100800K), 0.0220489 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:24.316+0800: 164.046: [GC (Allocation Failure) [PSYoungGen: 972912K->25456K(1000960K)] 1038429K->90981K(1104896K), 0.0289061 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:25.701+0800: 165.431: [GC (Allocation Failure) [PSYoungGen: 982896K->16375K(999936K)] 1048421K->81909K(1103872K), 0.0174613 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:27.063+0800: 166.793: [GC (Allocation Failure) [PSYoungGen: 973815K->23408K(1003520K)] 1039349K->88949K(1107456K), 0.0257012 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:28.472+0800: 168.202: [GC (Allocation Failure) [PSYoungGen: 987504K->29600K(1004032K)] 1053045K->95149K(1107968K), 0.0296878 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2024-07-05T13:05:29.977+0800: 169.707: [GC (Allocation Failure) [PSYoungGen: 993696K->23824K(1005568K)] 1059245K->89381K(1109504K), 0.0279473 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2024-07-05T13:05:31.421+0800: 171.151: [GC (Allocation Failure) [PSYoungGen: 991504K->21874K(1006592K)] 1057061K->87440K(1110528K), 0.0202721 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:32.809+0800: 172.539: [GC (Allocation Failure) [PSYoungGen: 989554K->15168K(1009664K)] 1055120K->80741K(1113600K), 0.0153736 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:34.185+0800: 173.915: [GC (Allocation Failure) [PSYoungGen: 986944K->25936K(1009664K)] 1052517K->91517K(1113600K), 0.0275556 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:35.641+0800: 175.371: [GC (Allocation Failure) [PSYoungGen: 997712K->16544K(1010176K)] 1063293K->82133K(1114112K), 0.0170963 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:37.058+0800: 176.788: [GC (Allocation Failure) [PSYoungGen: 989344K->23760K(1010176K)] 1054933K->89357K(1114112K), 0.0272771 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:38.472+0800: 178.202: [GC (Allocation Failure) [PSYoungGen: 996560K->27728K(1009664K)] 1062157K->93333K(1113600K), 0.0299391 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-05T13:05:39.949+0800: 179.679: [GC (Allocation Failure) [PSYoungGen: 1001040K->14186K(1010176K)] 1066645K->79799K(1114112K), 0.0141463 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:41.301+0800: 181.031: [GC (Allocation Failure) [PSYoungGen: 987498K->22912K(1009664K)] 1053111K->88533K(1113600K), 0.0230204 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:42.730+0800: 182.460: [GC (Allocation Failure) [PSYoungGen: 997760K->30352K(1010688K)] 1063381K->95981K(1114624K), 0.0298859 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:44.189+0800: 183.919: [GC (Allocation Failure) [PSYoungGen: 1005200K->20656K(1011712K)] 1070829K->86293K(1115648K), 0.0222906 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2024-07-05T13:05:45.553+0800: 185.283: [GC (Allocation Failure) [PSYoungGen: 995504K->25632K(1011200K)] 1061141K->91277K(1115136K), 0.0247731 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
